company_id,category_code,status,country_code,state_code,city,region,valuation_amount,valuation_currency_code,raised_amount,raised_currency_code,public_at,stock_symbol,acquired_at,ipo,is_acquired,is_closed,age,mba_degree,phd_degree,ms_degree,other_degree,offices,average_raised_amount_usd,average_participants,total_rounds
c:79663,medical,operating,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,False,2557.0,2.0,,,3.0,1.0,15300000.0,3.0,5
c:79665,software,operating,AUT,,Vienna,Vienna,,,,,,,,False,False,False,901.0,,,,5.0,2.0,150000.0,2.0,1
c:79671,education,acquired,USA,CA,Sunnyvale,SF Bay,,,,,,,2011-01-01,False,True,False,943.0,,,,,1.0,,1.0,1
c:79674,mobile,acquired,USA,CA,San Mateo,SF Bay,,,,,,,2011-12-08,False,True,False,1310.0,,,1.0,4.0,1.0,1000000.0,0.0,1
c:79677,biotech,operating,USA,CA,Novato,SF Bay,,,,,,,,False,False,False,,3.0,1.0,1.0,3.0,1.0,45050002.5,3.0,2
c:79681,games_video,operating,USA,CA,Culver City,Los Angeles,,,,,,,,False,False,False,1826.0,1.0,,,3.0,1.0,14250000.0,2.5,2
c:79682,hardware,operating,USA,NC,Raleigh,Raleigh-Durham,,,,,,,,False,False,False,2922.0,2.0,3.0,3.0,10.0,1.0,5500000.0,2.0,1
c:79685,software,operating,FRA,,Paris,Paris,,,,,,,,False,False,False,1087.0,,,1.0,,1.0,1067625.0,4.0,1
c:79702,ecommerce,operating,USA,CO,Denver,Denver,,,,,,,,False,False,False,,,,,,1.0,,0.0,1
c:79721,finance,closed,IND,,Mumbai,Mumbai,,,,,,,,False,False,True,2192.0,,,,,1.0,,2.0,1
c:79731,software,operating,USA,IL,Chicago,Chicago,,,,,,,,False,False,False,5114.0,1.0,,2.0,1.0,1.0,15000000.0,1.0,1
c:79736,web,closed,GBR,,London,London,,,,,,,,False,False,True,945.0,,,,,1.0,15000.0,0.0,1
c:79778,ecommerce,operating,,,,unknown,,,,,,,,False,False,False,,,,,,,,1.0,1
c:79805,cleantech,operating,USA,CA,Azusa,Los Angeles,,,,,,,,False,False,False,2406.0,6.0,3.0,6.0,13.0,1.0,13066666.666666666,3.0,3
c:79806,advertising,operating,USA,NY,New York,New York,,,,,,,,False,False,False,4004.0,4.0,,1.0,11.0,4.0,17250000.0,2.5,2
