company_id,category_code,country_code,state_code,city,region,ipo,is_acquired,is_closed,age,mba_degree,phd_degree,ms_degree,other_degree,offices,average_raised_amount_usd,average_participants,total_rounds,products_number
c:255144,software,USA,VA,GREAT FALLS,Washington DC,False,False,False,22280.0,,,,,1.0,12000002.0,0.0,1,
c:255152,software,USA,AZ,Tucson,Tucson,False,False,False,4018.0,,,,,1.0,546000.0,0.0,1,
c:255153,other,USA,NY,New York,New York,False,False,False,671.0,,,,,1.0,,1.5,2,
c:255162,health,USA,AL,Huntsville,Huntsville,False,False,False,1096.0,,,,,1.0,247500.0,0.0,1,
c:255168,software,USA,GA,Suwanee,Atlanta,False,False,False,365.0,,,,,1.0,675000.0,0.0,1,
c:255172,mobile,,,,unknown,False,False,False,,1.0,,,1.0,,,4.0,1,
c:255177,health,USA,CA,Raleigh,unknown,False,False,False,1461.0,,,,,1.0,1565000.0,0.5,2,
c:255178,advertising,USA,TX,Austin,Austin,False,False,False,,,,,,1.0,175000.0,0.0,1,
c:255182,software,USA,CA,Corona,Los Angeles,False,False,False,3653.0,,,,,1.0,325002.0,0.0,1,
c:255191,software,USA,FL,Miami,Miami,False,False,False,1826.0,,,,,1.0,384130.0,0.0,1,
c:255193,health,USA,MA,CAMBRIDGE,Boston,False,False,False,487.0,,,,4.0,1.0,526250.0,5.5,2,
c:255197,biotech,USA,MA,Cambridge,Boston,False,False,False,,,1.0,,4.0,1.0,10500000.0,2.0,1,
c:255198,biotech,USA,MA,Cambridge,Boston,False,False,False,,,2.0,1.0,3.0,1.0,10800000.0,1.0,1,
c:255200,,AUT,,,Austria - Other,False,False,False,,,,,4.0,1.0,700000.0,0.0,1,
c:255203,biotech,USA,PA,MALVERN,Philadelphia,False,False,False,731.0,,,,,1.0,6000000.0,0.0,1,
c:255206,software,USA,TN,Chattanooga,Chattanooga,False,False,False,,,,,2.0,1.0,600000.0,0.0,1,
c:255207,photo_video,IND,,,India - Other,False,False,False,,,,,2.0,1.0,160000.0,4.0,1,
c:255209,biotech,USA,CA,Palo Alto,SF Bay,False,False,False,1826.0,,,,,1.0,875000.0,0.5,2,
c:255210,software,USA,CA,San Diego,San Diego,False,False,False,,,,,,1.0,10000000.0,1.0,1,
c:255212,biotech,USA,OH,Cleveland,Cleveland,False,False,False,1826.0,,,,,1.0,6153863.0,0.0,1,
c:255214,biotech,USA,CA,SAN DIEGO,San Diego,False,False,False,1826.0,,,,,1.0,5163118.0,0.0,1,
c:255236,enterprise,USA,UT,Tooele,Salt Lake City,False,False,False,2557.0,,,,,1.0,30000.0,0.0,1,
c:255238,games_video,USA,MD,Bethesda,Washington DC,False,False,False,,,,,,1.0,400000.0,0.0,1,
c:255244,biotech,USA,KY,Lexington,Lexington,False,False,False,1096.0,,,,,1.0,800000.0,0.0,1,
c:255264,finance,USA,CA,Palo Alto,SF Bay,False,False,False,,,,1.0,3.0,1.0,100000.0,2.0,1,
c:255272,,ISR,,Ra?ananna,unknown,False,False,False,,,,,,1.0,500000.0,2.0,1,
c:255275,advertising,USA,CA,San Francisco,SF Bay,False,False,False,209.0,,,,2.0,2.0,60000.0,3.0,1,
c:255277,ecommerce,,,,unknown,False,False,False,1096.0,,,,,,400000.0,1.0,2,
c:255280,news,,,,unknown,False,False,False,2192.0,1.0,,,3.0,,250000.0,0.0,1,
c:255285,,USA,OH,Mayfield Village,Cleveland,False,False,False,,,,,,1.0,525000.0,1.0,1,
c:255286,biotech,USA,MN,Burnsville,Minneapolis,False,False,False,,,,,,1.0,2906328.0,0.0,2,
c:255293,biotech,USA,NY,New York,New York,False,False,False,,,,,,1.0,1855886.0,0.0,2,
c:255295,software,USA,CA,Manhattan Beach,Los Angeles,False,False,False,1461.0,1.0,,,1.0,1.0,35000.0,0.0,1,
c:255298,,IRL,,"Blackrock,",TBD,False,False,False,3653.0,,,,2.0,1.0,25500000.0,2.0,1,
c:255301,health,USA,CA,Foothill Ranch,Los Angeles,False,False,False,,,,,,1.0,6620512.0,0.0,1,
c:255306,hardware,USA,GA,Atlanta,Atlanta,False,False,False,5844.0,1.0,,,4.0,1.0,5000000.0,0.0,1,
c:255307,health,USA,PA,Newtown Square,Philadelphia,False,False,False,1096.0,,,,,1.0,1265000.0,0.0,1,
c:255314,health,USA,VA,Richmond,SF Bay,False,False,True,,,,1.0,1.0,1.0,10000000.0,0.0,1,
c:255327,biotech,USA,CO,Aurora,Denver,False,False,False,1826.0,,,,,1.0,287498.5,0.0,2,
c:255330,medical,USA,AZ,Tucson,Tucson,False,False,False,1461.0,,,,,1.0,1700000.0,0.0,1,
c:255333,games_video,USA,NY,,New York - Other,False,False,False,1826.0,,,,4.0,1.0,35000.0,0.0,1,
c:255336,cleantech,GBR,,Denmark,unknown,False,False,False,2922.0,,,2.0,,1.0,1666777.0,0.0,1,
c:255341,,USA,CA,San Diego,San Diego,False,False,False,5479.0,,,,,1.0,7283058.5,0.0,2,
c:255345,games_video,USA,,,United States - Other,False,False,False,427.0,,,1.0,1.0,1.0,830000.0,1.0,1,
c:255346,,,,,unknown,False,False,False,,,,,,,,3.0,1,
c:255360,biotech,USA,NY,New York,New York,True,False,False,,1.0,,,1.0,1.0,25000000.0,0.0,1,
c:255372,software,USA,MD,Baltimore,Baltimore,False,False,False,1826.0,,,,,1.0,1252500.0,0.5,2,
c:255381,biotech,USA,TN,Brentwood,Nashville,False,False,False,1096.0,,,,,1.0,52500.0,1.5,2,
c:255382,mobile,SWE,,15 Lund,unknown,False,False,False,926.0,,,1.0,1.0,1.0,35000.0,0.0,1,
c:255395,cleantech,USA,NC,Asheville,Asheville,False,False,False,,,,,,1.0,4314200.0,0.0,2,
c:255399,web,,,,unknown,False,False,False,731.0,,,,,,650000.0,0.0,1,
c:255400,health,USA,GA,Alpharetta,Atlanta,False,False,False,4748.0,,,,1.0,1.0,2635249.0,0.0,1,
c:255437,,ISR,,Jerusalem,Jerusalem,False,False,False,,,,,,1.0,550000.0,0.0,1,
c:255440,,ISR,,Herzliya,Herzliya,False,False,False,1096.0,,,,,1.0,1000000.0,1.0,1,
c:255442,mobile,USA,CA,San Francisco,SF Bay,False,False,False,,,,,,1.0,,1.0,1,
c:255443,,,,,unknown,False,False,False,,,,,2.0,,,2.0,1,
c:255482,local,PER,,Arequipa,unknown,False,False,False,765.0,,,,,1.0,20000000.0,0.0,1,
